graph,algo,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,time
g7088.json,bfs,40,67,0.086,3.35,4,0.0,False,1,True,True,1.3e-05
g9995.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.4e-05
g8687.json,bfs,85,84,0.024,1.9764705882352942,5,0.0,False,1,True,False,1.8e-05
g7572.json,bfs,42,71,0.082,3.380952380952381,4,0.0,False,1,True,True,1.3e-05
g838.json,bfs,15,25,0.238,3.3333333333333335,6,0.23555555555555555,False,1,True,True,7e-06
g5261.json,bfs,31,62,0.133,4.0,6,0.31397849462365596,False,1,True,True,1e-05
g8453.json,bfs,15,14,0.133,1.8666666666666667,3,0.0,False,1,True,False,5e-06
g4889.json,bfs,36,36,0.057,2.0,3,0.06481481481481483,False,1,True,True,1.2e-05
g5631.json,dijkstra,12,36,0.545,6.0,7,0.4896825396825397,False,1,True,True,1.8e-05
g4923.json,dijkstra,10,20,0.444,4.0,6,0.5566666666666666,False,1,True,True,1.1e-05
g8003.json,bfs,341,340,0.006,1.9941348973607038,5,0.0,False,1,True,False,6.4e-05
g615.json,bfs,26,46,0.142,3.5384615384615383,7,0.11849816849816851,False,1,True,True,8e-06
g1388.json,bfs,36,110,0.175,6.111111111111111,11,0.1985068943402277,False,1,True,True,1.2e-05
g4470.json,bfs,32,64,0.129,4.0,6,0.23020833333333338,False,1,True,True,1e-05
g9242.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.4e-05
g1672.json,bfs,32,103,0.208,6.4375,10,0.1702380952380953,False,1,True,True,1.2e-05
g245.json,bfs,39,191,0.258,9.794871794871796,15,0.23511346203653888,False,1,True,True,1.1e-05
g4020.json,bfs,31,31,0.067,2.0,4,0.0,False,1,True,True,1.1e-05
g9612.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.5e-05
g8900.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000263
g1222.json,bfs,19,50,0.292,5.2631578947368425,8,0.2969924812030075,False,1,True,True,8e-06
g9307.json,bfs,364,363,0.005,1.9945054945054945,4,0.0,False,1,True,False,7.2e-05
g1737.json,bfs,32,67,0.135,4.1875,8,0.16235119047619048,False,1,True,True,1.1e-05
g2818.json,bfs,50,225,0.184,9.0,26,0.2706585002544756,False,1,True,True,1.3e-05
g4535.json,bfs,20,20,0.105,2.0,4,0.10833333333333335,False,1,True,True,7e-06
g6508.json,bfs,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,9e-06
g750.json,bfs,38,215,0.306,11.31578947368421,17,0.3085330175500455,False,1,True,True,1.1e-05
g9757.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.9e-05
g8845.json,bfs,85,84,0.024,1.9764705882352942,5,0.0,False,1,True,False,1.8e-05
g1367.json,bfs,23,46,0.182,4.0,8,0.14761904761904762,False,1,True,True,9e-06
g4165.json,bfs,49,98,0.083,4.0,5,0.3755102040816326,False,1,True,True,1.5e-05
g6158.json,bfs,25,40,0.133,3.2,4,0.0,False,1,True,True,9e-06
g300.json,bfs,35,137,0.23,7.828571428571428,14,0.22902002759145615,False,1,True,True,1e-05
g8516.json,bfs,341,340,0.006,1.9941348973607038,5,0.0,False,1,True,False,6.5e-05
g7319.json,bfs,32,52,0.105,3.25,4,0.0,False,1,True,True,1.2e-05
g5324.json,bfs,17,34,0.25,4.0,5,0.296078431372549,False,1,True,True,6e-06
g8146.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,9e-06
